Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank, Pos, City, State, Height, Weight, Stars, Grade, University
Chance Raines,OC,Jacksonville,FL,6'2'',270.0,,73.0,Wake Forest ,18,,,2007,Wake Forest,,,,,,,,,,
Cyhl Quarles,OLB,Norcross,GA,6'1'',195.0,,77.0,Wake Forest ,19,,,2007,Wake Forest,,,,,,,,,,
Shane Popham,K,Park Hills,KY,,,,,Wake Forest ,,,,2007,Wake Forest,,,,,,,,,,
Junior Petit-Jean,CB,Naples,FL,5'10'',180.0,,59.0,Wake Forest ,122,,,2007,Wake Forest,,,,,,,,,,
Brandon Pendergrass,RB,Royal Palm Beach,FL,5'9'',180.0,,79.0,Wake Forest ,20,,,2007,Wake Forest,,,,,,,,,,
Gelo Orange,DE,Naples,FL,6'4'',225.0,,,Wake Forest ,,,,2007,Wake Forest,,,,,,,,,,
Skylar Jones,QB,Middletown,OH,6'0'',175.0,,76.0,Wake Forest ,,,,2007,Wake Forest,,,,,,,,,,
Kyle Jarrett,ILB,Clemmons,NC,6'2'',215.0,,68.0,Wake Forest ,,,,2007,Wake Forest,,,,,,,,,,
Michael Hoag,OT,Knoxville,TN,6'6'',285.0,,,Wake Forest ,,,,2007,Wake Forest,,,,,,,,,,
Uriah Grant,DT,Miramar,FL,5'11'',250.0,,71.0,Wake Forest ,NR,,,2007,Wake Forest,,,,,,,,,,
Dennis Godfrey,TE,Sanford,NC,6'2'',255.0,,,Wake Forest ,,,,2007,Wake Forest,,,,,,,,,,
Cameron Ford,WR,Anderson,SC,6'4'',215.0,,72.0,Wake Forest ,121, NR, NR,2007,Wake Forest,,,,,,,,,,
Tristan Dorty,DE,Mount Ulla,NC,6'1'',230.0,,,Wake Forest ,,,,2007,Wake Forest,,,,,,,,,,
Danny Dembry,WR,Ahoskie,NC,6'3'',185.0,,69.0,Wake Forest ,,157,,2007,Wake Forest,,,,,,,,,,
Josh Bush,CB,Lexington,NC,6'0'',185.0,,,Wake Forest ,NR,,,2007,Wake Forest,,,,,,,,,,
Devon Brown,RB,Ashburn,VA,5'9'',175.0,,,Wake Forest ,,,,2007,Wake Forest,,,,,,,,,,
Ryan Britt,OT,Colleyville,TX,6'4'',280.0,,,Wake Forest,NR,NR,NR,2007,Wake Forest,,,,,,,,,,
Garrick Williams,OT,Columbia,MO,6'4'',316,,,Wake Forest,,,,2008,Wake Forest, NR, NR,,,,,,,,
Ted Stachitas,QB,Ponte Vedra Beach,FL,6'1'',180,,76.0,Wake Forest,50,,,2008,Wake Forest,,,,,,,,,,
Kevin Smith,DE,Plano,TX,6'4'',199,,,Wake Forest,,,,2008,Wake Forest,,,,,,,,,,
Chance Raines,OC,Jacksonville,FL,6'2'',270,,73.0,Wake Forest,,,,2008,Wake Forest, None, None,,,,,,,,
Andrew Parker,TE,Jacksonville,FL,6'5'',235,,78.0,Wake Forest,26,,,2008,Wake Forest,187, None,,,,,,,,
Kenny Okoro,CB,Greensboro,NC,5'11'',180,,,Wake Forest,,,,2008,Wake Forest,,,,,,,,,,
Joe Looney,OG,Lake Worth,FL,6'4'',310,,73.0,Wake Forest,470,,,2008,Wake Forest, None, None,,,,,,,,
Lovell Jackson,RB,Tampa,FL,5'9'',175,,76.0,Wake Forest,97,,,2008,Wake Forest,325, NR,,,,,,,,
Gabe Irby,OG,Mount Airy,GA,6'3'',314,,76.0,Wake Forest,44,,,2008,Wake Forest,,,,,,,,,,
Riley Haynes,ILB,Ponte Vedra Beach,FL,6'1'',217,,78.0,Wake Forest,15,,,2008,Wake Forest,,,,,,,,,,
Chris Givens,RB,Wylie,TX,6'0'',195,,,Wake Forest,,,,2008,Wake Forest, None, None,,,,,,,,
Derricus Ellis,DE,Rome,GA,6'1'',235,,74.0,Wake Forest,98,,,2008,Wake Forest,,,,,,,,,,
Joey Ehrmann,OLB,Baltimore,MD,6'3'',205,,73.0,Wake Forest,NR,,,2008,Wake Forest,,,,,,,,,,
J.T. Dixon,TE,Chandler,AZ,6'4'',220,,,Wake Forest,,,,2008,Wake Forest,,,,,,,,,,
Terence Davis,ATH,Snellville,GA,6'2'',180,,77.0,Wake Forest,52,,,2008,Wake Forest,266, NR,,,,,,,,
Steve Chase,OT,Frederick,MD,6'6'',253,,,Wake Forest,,,,2008,Wake Forest,,,,,,,,,,
Ramon Booi,DT,Ponte Vedra Beach,FL,6'4'',340,,77.0,Wake Forest,48,,,2008,Wake Forest,,,,,,,,,,
Scott Betros,ILB,Jacksonville,FL,6'1'',225,,77.0,Wake Forest,26,,,2008,Wake Forest,,,,,,,,,,
Tyler Cameron,QB,Jupiter,FL,6'3'',216,78,Wake Forest,,36,,,2012,Wake Forest,224,75,,,,,,,,
Anthony Rook,TE,Greenville,NC,6'3'',225,78,Wake Forest,,,,,2012,Wake Forest, None, None,,,,,,,,
Dominique Gibson,OLB,Belle Glade,FL,5'10'',195,78,Wake Forest,,,,,2012,Wake Forest, None, None,,,,,,,,
Steve Donatell,QB,Highlands Ranch,CO,6'5'',195,76,Wake Forest,,,,,2012,Wake Forest,,,,,,,,,,
Joshua Banks,DE,Apex,NC,6'4'',245,76,Wake Forest,,123,,,2012,Wake Forest,455,43,,,,,,,,
Will Smith,OT,Christchurch,VA,6'5'',275,76,Wake Forest,,,,,2012,Wake Forest, None, None,,,,,,,,
Sheldon Lewinson,DE,Seffner,FL,6'2'',235,76,Wake Forest,,124,,,2012,Wake Forest,,,,,,,,,,
Jared Crump,WR,Jacksonville,FL,6'2'',185,76,Wake Forest,,477,,,2012,Wake Forest,,,,,,,,,,
Joel Suggs,OT,Randleman,NC,6'6'',275,75,Wake Forest,,124,,,2012,Wake Forest,,,,,,,,,,
Ryan Janvion,ATH,Miami,FL,5'11'',165,75,Wake Forest,,129,,,2012,Wake Forest,,,,,,,,,,
Tylor Harris,DE,Baton Rouge,LA,6'3'',251,75,Wake Forest,,166,,,2012,Wake Forest,601,49,,,,,,,,
Ty Hayworth,OG,Kingsport,TN,6'4'',300,75,Wake Forest,,,,,2012,Wake Forest,,,,,,,,,,
Jonathan Williams,WR,Atlanta,GA,6'3'',170,75,Wake Forest,,167,,,2012,Wake Forest,,,,,,,,,,
Kevis Jones,ATH,Oakland Park,FL,6'2'',195,74,Wake Forest,,147,,,2012,Wake Forest,651,233,,,,,,,,
Laronji Vason,CB,Prattville,AL,5'10'',175,74,Wake Forest,,,,,2012,Wake Forest, None, None,,,,,,,,
Joshua Wilhite,RB,Missouri City,TX,5'9'',170,74,Wake Forest,,110,,,2012,Wake Forest,,,,,,,,,,
Zach Gordon,TE,Carrollton,GA,6'3'',222,74,Wake Forest,,689,,,2012,Wake Forest,,,,,,,,,,
James Ward,CB,DeLand,FL,5'10'',165,73,Wake Forest,,,,,2012,Wake Forest, None, None,,,,,,,,
Teddy Matthews,OLB,Royal Palm Beach,FL,Palm Beach Lakes High School,6'2'',215,,Wake Forest,,,,2012,Wake Forest,,,,,,,,,,
Lance Virgile,OLB,Fort Lauderdale,FL,6'2'',218,81.0,Wake Forest,,25,,,2013,Wake Forest,167,66,,,,,,,,
Jalen Latter,CB,Charlotte,NC,5'11'',184,79.0,Wake Forest,,39,,,2013,Wake Forest,236,22,,,,,,,,
Julian Thomas-Jackson,OLB,Dothan,AL,6'3'',193,79.0,Wake Forest,,53,,,2013,Wake Forest,247,21,,,,,,,,
Duke Ejiofor,DE,Houston,TX,6'3'',196,77.0,Wake Forest,,54,,,2013,Wake Forest,,,,,,,,,,
Tyree Harris,WR,Marietta,GA,6'2'',164,77.0,Wake Forest,,83,,,2013,Wake Forest,,,,,,,,,,
Ford Howell,ILB,Memphis,TN,6'1'',225,76.0,Wake Forest,,42,,,2013,Wake Forest,378,18,,,,,,,,
Michael Stevenson,CB,Clearwater,FL,5'11'',175,76.0,Wake Forest,,398,,,2013,Wake Forest,,,,,,,,,,
Dez Wortham,RB,Carrollton,TX,6'0'',205,76.0,Wake Forest,,,,,2013,Wake Forest,,,,,,,,,,
John Armstrong,RB,Orlando,FL,5'7'',161,75.0,Wake Forest,,423,,,2013,Wake Forest,155, None,,,,,,,,
Ali Lamot,OLB,Mebane,NC,6'2'',200,75.0,Wake Forest,,101,,,2013,Wake Forest,,,,,,,,,,
Cory Helms,OG,Alpharetta,GA,6'3'',299,75.0,Wake Forest,,74,,,2013,Wake Forest,,,,,,,,,,
James Looney,DT,Lake Worth,FL,6'3'',260,74.0,Wake Forest,,,,,2013,Wake Forest,492,182,,,,,,,,
Michael Radford,QB-PP,Charlotte,NC,6'3'',190,74.0,Wake Forest,,,,,2013,Wake Forest, None, None,,,,,,,,
Brad Watson,CB,Austin,TX,6'1'',170,74.0,Wake Forest,,82,,,2013,Wake Forest,230,178,,,,,,,,
Josh Harris,OG,Alpharetta,GA,6'4'',300,74.0,Wake Forest,,512,,,2013,Wake Forest,,,,,,,,,,
Wendell Dunn,OLB,Miami,FL,6'3'',198,74.0,Wake Forest,,514,,,2013,Wake Forest,,,,,,,,,,
Marquel Lee,ILB,Waldorf,MD,6'2'',210,72.0,Wake Forest,,59,,,2013,Wake Forest,,,,,,,,,,
Cameron Serigne,TE-H,Ashburn,VA,6'3'',214,72.0,Wake Forest,,26,,,2013,Wake Forest,,,,,,,,,,
Cameron Gardner,OT,Bailey,NC,6'5'',270,71.0,Wake Forest,,135,,,2013,Wake Forest,602,49,,,,,,,,
Taylor Chambers,OT,Columbia,SC,6'8'',258,71.0,Wake Forest,,136,,,2013,Wake Forest,603,21,,,,,,,,
Brendan O'Neil,TE-Y,Burlington,MA,6'4'',230,69.0,Wake Forest,,113,,,2013,Wake Forest,,,,,,,,,,
Joshua Okonye,CB,Richmond,TX,6'0'',183,69.0,Wake Forest,,,,,2013,Wake Forest,,,,,,,,,,
Deonte' Davis,CB,Snellville,GA,5'10'',164,,Wake Forest,,,,,2013,Wake Forest, None, None,,,,,,,,
Andrew Hauser,ILB,Covina,CA,6'1'',231,,Wake Forest,,,,,2013,Wake Forest,,,,,,,,,,
Mike Weaver,K,Elmira,NY,6'1'',180,,Wake Forest,,,,,2013,Wake Forest,,,,,,,,,,
Kameron Uter,WR,Atlanta,GA,6'3'',205,80,Wake Forest,,62,208,38,2014,Wake Forest,,,,,,,,,,
Jaboree' Williams,OLB,Fort Lauderdale,FL,6'1'',210,79,Wake Forest,,29,,,2014,Wake Forest,,,,,,,,,,
Cameron Glenn,S,Stone Mountain,GA,5'11'',175,79,Wake Forest,,259,80,22,2014,Wake Forest,,,,,,,,,,
Jaylan Barbour,WR,Monroe,NC,5'10'',164,79,Wake Forest,,91,,,2014,Wake Forest,,,,,,,,,,
Cortez Lewis,WR,Demopolis,AL,6'1'',200,78,Wake Forest,,60,295,16,2014,Wake Forest,,,,,,,,,,
Zeek Rodney,DT,Rock Hill,SC,6'0'',265,78,Wake Forest,,3,,,2014,Wake Forest,,,,,,,,,,
Adam Centers,K,Coppell,TX,6'0'',195,78,Wake Forest,,64,,,2014,Wake Forest,,,,,,,,,,
Terence Ricks,OLB,Chesapeake,VA,6'1'',210,77,Wake Forest,,32,,,2014,Wake Forest,,,,,,,,,,
Isaiah Robinson,RB,Charlotte,NC,5'10'',223,77,Wake Forest,,45,117,28,2014,Wake Forest,,,,,,,,,,
DaiQuan Lawrence,CB,Chesapeake,VA,6'0'',180,76,Wake Forest,,456,,,2014,Wake Forest,,,,,,,,,,
A'Lique Terry,OC,Hialeah,FL,6'1'',299,75,Wake Forest,,103,,,2014,Wake Forest,,,,,,,,,,
Willie Yarbary,DT,Augusta,GA,6'2'',260,75,Wake Forest,,102,,,2014,Wake Forest,,,,,,,,,,
Demetrius Kemp,ATH,Demopolis,AL,6'0'',182,75,Wake Forest,,110,,,2014,Wake Forest,,,,,,,,,,
Kalin McNeil,OLB,McLeansville,NC,6'2'',190,75,Wake Forest,,29,,,2014,Wake Forest,,,,,,,,,,
Tyler Henderson,ATH,Suwanee,GA,5'9'',180,75,Wake Forest,,,,,2014,Wake Forest,,,,,,,,,,
Devin Pike,TE-Y,Cincinnati,OH,6'5'',225,74,Wake Forest,,16,,,2014,Wake Forest,,,,,,,,,,
Rashawn Shaw,OLB,Fort Pierce,FL,6'2'',225,74,Wake Forest,,120,,,2014,Wake Forest,,,,,,,,,,
Nick Luedeke,OC,Holly Springs,NC,6'5'',250,74,Wake Forest,,54,,,2014,Wake Forest,,,,,,,,,,
Justin Herron,OT,Potomac,MD,6'4'',275,74,Wake Forest,,,,,2014,Wake Forest,,,,,,,,,,
Travis Smith,QB-PP,Ithaca,MI,6'2'',200,74,Wake Forest,,,,,2014,Wake Forest,,,,,,,,,,
Sulaiman Kamara,DT,Richmond,VA,6'2'',287,79.0,Wake Forest,,42,,,2016,Wake Forest,61,15,,,,,,,,
Jamie Newman,QB,Graham,NC,6'4'',237,79.0,Wake Forest,,19,,,2016,Wake Forest,,,,,,,,,,
Emmanuel Walker,DE,Santee,SC,6'3'',220,78.0,Wake Forest,,61,,,2016,Wake Forest,270,12,,,,,,,,
Taleni Suhren,OT,Charlotte,NC,6'4'',281,78.0,Wake Forest,,46,,,2016,Wake Forest,,,,,,,,,,
Arkeem Byrd,RB,Savannah,GA,6'0'',190,78.0,Wake Forest,,47,,,2016,Wake Forest,273,54,,,,,,,,
Je'vionte Nash,OG,Orange Park,FL,6'2'',291,78.0,Wake Forest,,,,,2016,Wake Forest,,,,,,,,,,
Traveon Redd,S,Ridgeway,VA,5'11'',182,78.0,Wake Forest,,3,,,2016,Wake Forest,85,16,,,,,,,,
Dominic Maggio,K,Baltimore,MD,6'1'',155,77.0,Wake Forest,,132,,,2016,Wake Forest,358,38,,,,,,,,
Jeremiah Brown,WR,High Point,NC,6'2'',175,77.0,Wake Forest,,75,,,2016,Wake Forest,407,82,,,,,,,,
Jacquez Williams,ATH,Hinesville,GA,6'2'',200,76.0,Wake Forest,,25,,,2016,Wake Forest,,,,,,,,,,
Brandon Chapman,TE,Y,Grove City,OH,6'6'',251.0,75,Wake Forest,,,,2016,Wake Forest, None, None,,,,,,,,
Cade Carney,RB,Davidson,NC,5'11'',213,75.0,Wake Forest,,98,,,2016,Wake Forest,,,,,,,,,,
Zander Zimmer,DE,Orlando,FL,6'3'',225,75.0,Wake Forest,,468,,,2016,Wake Forest,,,,,,,,,,
Lukas Masterson,S,Naples,FL,6'1'',190,74.0,Wake Forest,,78,,,2016,Wake Forest,,,,,,,,,,
Tyler Watson,OT,Alpharetta,GA,6'5'',244,74.0,Wake Forest,,72,,,2016,Wake Forest,141,36,,,,,,,,
LaRonde Liverpool,OLB,Virginia Beach,VA,6'3'',226,74.0,Wake Forest,,,,,2016,Wake Forest,,,,,,,,,,
Malik Grate,WR,Pendleton,SC,5'11'',151,74.0,Wake Forest,,587,,,2016,Wake Forest,,,,,,,,,,
Essang Bassey,CB,Columbus,GA,5'9'',174,72.0,Wake Forest,,200,,,2016,Wake Forest,198,48,,,,,,,,
Greg Dortch,WR,Highland Springs,VA,5'8'',150,70.0,Wake Forest,,163,,,2016,Wake Forest,,,,,,,,,,
Carlos Basham,DE,Roanoke,VA,6'3'',225,70.0,Wake Forest,,27,,,2016,Wake Forest,211,4,,,,,,,,
Thomas Cole,TE-H,Wellsburg,WV,6'4'',225,69.0,Wake Forest,,,,,2016,Wake Forest,,,,,,,,,,
DeAndre' Delaney,RB,Morristown,TN,6'1'',200,,Wake Forest,,,,,2016,Wake Forest,,,,,,,,,,
Michael Allen,,,,,,,,,45,237,57,2017,Wake Forest,,,DL,Lakeland,GA,6'5'',241.0,79,Wake Forest,
Sage Surratt,,,,,,,,,98,,,2017,Wake Forest,,,WR,Denver,NC,6'2'',185.0,78,Wake Forest,
Tayvon Bowers,,,,,,,,,21,83,13,2017,Wake Forest,,,QB-DT,Harrisburg,PA,6'1'',215.0,78,Wake Forest,
Jamal Riggins,,,,,,,,,20,,,2017,Wake Forest,,,ILB,Sebastian River,FL,6'2'',210.0,77,Wake Forest,
Christian Beal,,,,,,,,,59,391,25,2017,Wake Forest,,,RB,Kernersville,NC,5'10'',170.0,77,Wake Forest,
Jay'Sir Taylor,,,,,,,,,503,76,111,2017,Wake Forest,,,WR,Brick,NJ,5'11'',180.0,74,Wake Forest,
Troy Simon,,,,,,,,,,,,2017,Wake Forest,,,S,Milton,GA,6'0'',187.0,74,Wake Forest,
Jake Simpson,,,,,,,,,86,525,44,2017,Wake Forest,,,OLB,Buford,GA,6'0'',202.0,74,Wake Forest,
Zach Tom,,,,,,,,,99,,,2017,Wake Forest,,,OG,Baton Rouge,LA,6'4'',270.0,74,Wake Forest,
Coby Davis,,,,,,,,,85,,,2017,Wake Forest,,,CB,Washington,DC,6'0'',180.0,74,Wake Forest,
D.J. Taylor,,,,,,,,,540,,,2017,Wake Forest,,,OLB,Huntland,TN,6'2'',215.0,74,Wake Forest,
Tyler Williams,,,,,,,,,41,,,2017,Wake Forest,,,DT,West Palm Beach,FL,6'1'',296.0,74,Wake Forest,
Jeffery Burley,,,,,,,,,100,,,2017,Wake Forest,,,ILB,Jackson,GA,6'2'',210.0,74,Wake Forest,
Allan Rappleyea,,,,,,,,,188,568,34,2017,Wake Forest,,,OG,Milton,MA,6'4'',260.0,73,Wake Forest,
Jaquarii Roberson,,,,,,,,,109,588,130,2017,Wake Forest,,,WR,Ahoskie,NC,6'2'',170.0,73,Wake Forest,
Tyriq Hardimon,,,,,,,,,49,615,35,2017,Wake Forest,,,CB,Marietta,GA,5'11'',175.0,73,Wake Forest,
Chase Monroe,,,,,,,,,116,676,149,2017,Wake Forest,,,ILB,Davidson,NC,6'2'',218.0,72,Wake Forest,
Sean Maginn,,,,,,,,,133,,,2017,Wake Forest,,,OG,Suwanee,GA,6'3'',260.0,71,Wake Forest,
Spencer Clapp,,,,,,,,,,,,2017,Wake Forest,,,OT,Gibsonville,NC,6'5'',250.0,68,Wake Forest,
Waydale Jones,,,,,,,,,,,,2017,Wake Forest,,,WR,Beeville,TX,6'4'',184.0,NR,Wake Forest,
Loic Nya,,,,,,,,,,,,2017,Wake Forest,,,OG,Silver Spring,MD,6'4'',275.0,NR,Wake Forest,
Kenneth Dicks III,CB,Suwanee,GA,6'0'',201,78.0,Wake Forest,,52,,,2018,Wake Forest,297,69,,,,,,,,
Michael Jurgens,OG,Damascus,MD,6'4'',275,77.0,Wake Forest,,46,,,2018,Wake Forest,95,16,,,,,,,,
Royce Francis,DE,Acworth,GA,6'3'',240,77.0,Wake Forest,,360,,,2018,Wake Forest,80,83,,,,,,,,
Kelijiha Brown,DT,Saluda,SC,6'2'',320,77.0,Wake Forest,,366,,,2018,Wake Forest,,,,,,,,,,
Devonte Gordon,OT,Washington,DC,6'4'',279,76.0,Wake Forest,,91,,,2018,Wake Forest,114,10,,,,,,,,
Sam Hartman,QB-PP,Cornelius,NC,6'1'',182,76.0,Wake Forest,,49,,,2018,Wake Forest,,,,,,,,,,
Atorian Perry,WR,Lake Worth,FL,6'4'',169,76.0,Wake Forest,,180,,,2018,Wake Forest,465,174,,,,,,,,
Dion Bergen,DT,Kissimmee,FL,6'0'',263,75.0,Wake Forest,,485,,,2018,Wake Forest,,,,,,,,,,
Isaiah Isaac,WR,Buford,GA,5'9'',175,75.0,Wake Forest,,195,,,2018,Wake Forest,541,118,,,,,,,,
Courtney McKinney,RB,Biscoe,NC,6'2'',200,74.0,Wake Forest,,75,,,2018,Wake Forest,,,,,,,,,,
Mike Edwards,OT,Hope Mills,NC,6'6'',305,74.0,Wake Forest,,106,,,2018,Wake Forest,,,,,,,,,,
Blake Whiteheart,TE-Y,Winston-Salem,NC,6'4'',230,74.0,Wake Forest,,36,,,2018,Wake Forest,,,,,,,,,,
Nicolas Sciba,K,Clover,SC,5'10'',170,74.0,Wake Forest,,21,,,2018,Wake Forest,,,,,,,,,,
Rondell Bothroyd,DE,Storrs-Mansfield,CT,6'3'',245,74.0,Wake Forest,,74,,,2018,Wake Forest,127,148,,,,,,,,
Ryan Smenda,ILB,Jacksonville,FL,6'2'',204,74.0,Wake Forest,,39,,,2018,Wake Forest,589,226,,,,,,,,
Anthony Manning,S,Orlando,FL,5'10'',175,73.0,Wake Forest,,,,,2018,Wake Forest, None, None,,,,,,,,
Zion Keith,S,Florence,SC,6'0'',190,73.0,Wake Forest,,85,,,2018,Wake Forest,625,31,,,,,,,,
Peyton Woulard,S,Suwanee,GA,6'1'',170,73.0,Wake Forest,,,,,2018,Wake Forest,632,135,,,,,,,,
JaCorey Johns,ILB,Cartersville,GA,6'3'',220,73.0,Wake Forest,,46,,,2018,Wake Forest,641,137,,,,,,,,
Nasir Greer,CB,Stockbridge,GA,6'0'',175,73.0,Wake Forest,,125,,,2018,Wake Forest,652,139,,,,,,,,
Orlando Heggs,OG,Jacksonville,FL,6'3'',290,72.0,Wake Forest,,107,,,2018,Wake Forest,,,,,,,,,,
Marquis Alston Jr.,CB,Kennesaw,GA,6'0'',181,,Wake Forest,,NR,,,2018,Wake Forest,,,,,,,,,,
Nolan Groulx,WR,Cornelius,NC,6'0'',187,80.0,Wake Forest,,45,,,2019,Wake Forest,152,10,,,,,,,,
Donavon Greene,WR,Mount Airy,NC,6'2'',185,80.0,Wake Forest,,58,,,2019,Wake Forest,210,16,,,,,,,,
Michael Kern,QB,Orlando,FL,6'1'',168,78.0,Wake Forest,,24,,,2019,Wake Forest,345,113,,,,,,,,
Shamar McCollum,DE,Dillon,SC,6'4'',207,78.0,Wake Forest,,102,,,2019,Wake Forest,,,,,,,,,,
Trey Rucker,S,Oakton,VA,6'0'',191,77.0,Wake Forest,,47,,,2019,Wake Forest,,,,,,,,,,
Kendrell Flowers,ATH,Irmo,SC,6'0'',188,77.0,Wake Forest,,367,,,2019,Wake Forest, None,12,,,,,,,,
Jeremiah Gray,S,Charlotte,NC,6'1'',210,77.0,Wake Forest,,,,,2019,Wake Forest, None, None,,,,,,,,
Justin Williams,DE,Seffner,FL,6'4'',240,77.0,Wake Forest,,114,,,2019,Wake Forest,398,131,,,,,,,,
Ivan Mora,K,Dalton,GA,6'0'',160,77.0,Wake Forest,,3,,,2019,Wake Forest,,,,,,,,,,
Cameron Hite,TE,Greeneville,TN,6'3'',215,77.0,Wake Forest,,22,,,2019,Wake Forest,,,,,,,,,,
Chase Jones,ATH,Jersey City,NJ,6'2'',210,76.0,Wake Forest,,,,,2019,Wake Forest, None, None,,,,,,,,
Kenneth Walker,RB,Arlington,TN,5'10'',191,75.0,Wake Forest,,91,,,2019,Wake Forest,563,39,,,,,,,,
Isaiah Chaney,DE,Cartersville,GA,6'4'',234,75.0,Wake Forest,,156,,,2019,Wake Forest,569,125,,,,,,,,
Taylor Morin,ATH,Chantilly,VA,5'10'',165,75.0,Wake Forest,,127,,,2019,Wake Forest,146,28,,,,,,,,
Will Smart,DE,Morristown,NJ,6'3'',255,75.0,Wake Forest,,159,,,2019,Wake Forest,,,,,,,,,,
Jaylen Hudson,OLB,Fayetteville,NC,6'2'',225,75.0,Wake Forest,,110,,,2019,Wake Forest,,,,,,,,,,
Zach Ranson,S,Atlanta,GA,6'2'',205,74.0,Wake Forest,,99,,,2019,Wake Forest,649,136,,,,,,,,
Isaiah Essissima,CB,Missouri City,TX,5'11'',170,74.0,Wake Forest,,131,,,2019,Wake Forest,289,211,,,,,,,,
A.J. Williams,ATH,Bamberg,SC,5'11'',175,72.0,Wake Forest,,163,,,2019,Wake Forest,,,,,,,,,,
Drelyn Ford,TE,Franklin,VA,6'4'',205,72.0,Wake Forest,,40,,,2019,Wake Forest,184,33,,,,,,,,
C.J. Elmonus,OT,Asheville,NC,6'6'',250,71.0,Wake Forest,,150,,,2019,Wake Forest,772,78,,,,,,,,
Miles Fox,DT,Norfolk,VA,6'1'',292,,Wake Forest,,,,,2019,Wake Forest, None, None,,,,,,,,
Santino Marucci,QB-PP,Jacksonville,FL,6'1'',195,77,Wake Forest,,32,,,2021,Wake Forest,295,99,,,,,,,,
Bernard Gooden,DT,Montgomery,AL,6'2'',280,77,Wake Forest,,53,,,2021,Wake Forest,,,,,,,,,,
Matt Gulbin,OG,Wilton,CT,6'4'',285,76,Wake Forest,,53,,,2021,Wake Forest,107,6,,,,,,,,
Will Towns,RB,Jackson,NJ,5'11'',190,76,Wake Forest,,,,,2021,Wake Forest, None, None,,,,,,,,
Quincy Bryant,S,Lilburn,GA,6'0'',190,76,Wake Forest,,73,,,2021,Wake Forest,425,97,,,,,,,,
Dylan Hazen,ILB,The Woodlands,TX,6'1'',220,76,Wake Forest,,30,,,2021,Wake Forest,225,170,,,,,,,,
Nick Sharpe,OG,Gastonia,NC,6'2'',295,75,Wake Forest,,58,,,2021,Wake Forest,,,,,,,,,,
Jaydon Collins,OT,Greer,SC,6'6'',280,75,Wake Forest,,96,,,2021,Wake Forest,461,17,,,,,,,,
